VNUM	TYPE	MODEL	NAME	REG_1	REG_2	REG_3	REG_4	XROT_LIMIT	YROT_LIMIT	ZROT_LIMIT	PRICE	MATERIALS	NPC	GROUP	DEPEND_GROUP	��������
14048	FACILITY	yonggwangro	Gold Smelter	-176.424057007	-198.95211792	176.424072266	198.952178955	0	0	360	20000000	"90010,15/90011,20/90012,25"	20065	3	1	1
14049	FACILITY	yonggwangro	Jade Smelter	-176.424057007	-198.95211792	176.424072266	198.952178955	0	0	360	20000000	"90010,15/90011,20/90012,25"	20066	3	1	1
14050	FACILITY	yonggwangro	Ebony Smelter	-176.424057007	-198.95211792	176.424072266	198.952178955	0	0	360	20000000	"90010,15/90011,20/90012,25"	20067	3	1	1
14051	FACILITY	yonggwangro	Pearl Smelter	-176.424057007	-198.95211792	176.424072266	198.952178955	0	0	360	20000000	"90010,15/90011,20/90012,25"	20068	3	1	1
14052	FACILITY	yonggwangro	White Gold Smelter	-176.424057007	-198.95211792	176.424072266	198.952178955	0	0	360	20000000	"90010,15/90011,20/90012,25"	20069	3	1	1
14053	FACILITY	yonggwangro	Crystal Smelter	-176.424057007	-198.95211792	176.424072266	198.952178955	0	0	360	20000000	"90010,15/90011,20/90012,25"	20070	3	1	1
14054	FACILITY	yonggwangro	Amethyst Smelter	-176.424057007	-198.95211792	176.424072266	198.952178955	0	0	360	20000000	"90010,15/90011,20/90012,25"	20071	3	1	1
14055	FACILITY	yonggwangro	Heaven Tear Smelter	-176.424057007	-198.95211792	176.424072266	198.952178955	0	0	360	20000000	"90010,15/90011,20/90012,25"	20072	3	1	1
14056	FACILITY	yonggwangro	Soul Crystal Smelter	-176.424057007	-198.95211792	176.424072266	198.952178955	0	0	360	20000000	"90010,15/90011,20/90012,25"	30306	3	1	1
14057	FACILITY	yonggwangro	Ruby Smelter	-176.424057007	-198.95211792	176.424072266	198.952178955	0	0	360	20000000	"90010,15/90011,20/90012,25"	30307	3	1	1
14058	FACILITY	yonggwangro	Garnet Smelter	-176.424057007	-198.95211792	176.424072266	198.952178955	0	0	360	20000000	"90010,15/90011,20/90012,25"	30308	3	1	1
14059	FACILITY	yonggwangro	Emerald Smelter	-176.424057007	-198.95211792	176.424072266	198.952178955	0	0	360	20000000	"90010,15/90011,20/90012,25"	30309	3	1	1
14060	FACILITY	yonggwangro	Sapphire Smelter	-176.424057007	-198.95211792	176.424072266	198.952178955	0	0	360	20000000	"90010,15/90011,20/90012,25"	30310	3	1	1

14061	FACILITY	himuijedan_01	Temple of Power	-201.659378052	-283.71182251	204.231491089	276.917999268	0	0	360	25000000	"90010,25/90011,25/90012,25"	20077	4	1	1
14062	FACILITY	himuijedan_02	Temple of Power	-232.469467163	-283.71182251	233.172286987	313.80065918	0	0	360	500000000	"90010,50/90011,50/90012,50"	20078	4	4	2
14063	FACILITY	himuijedan_03	Temple of Power	-232.469467163	-283.71182251	233.172286987	313.80065918	0	0	360	750000000	"90010,75/90011,75/90012,75"	20079	4	4	2

14070	FACILITY	yonggwangro	F. Sapphire Smelter	-176.424057007	-198.95211792	176.424072266	198.952178955	0	0	360	20000000	"90010,15/90011,20/90012,25"	30311	3	1	1
14100	HEADQUARTER	a1-011-workhouse	House (1)	-230.23040771484375	-261.2984313964844	230.1256866455078	261.66845703125	0	0	360	20000000	"90010,20/90011,30/90012,25"	0	1	0	1
//14101	OBJECT	a1-038-wall-corner	Stone wall(1-1)	-400	-153.53	156.48	400	0	0	360	2000000	"90010,15/90011,5/90012,5"	0	5	0	2
//14102	OBJECT	a1-038-wall-lin	Stone wall(1-2)	-200	-106.73	300	106.73	0	0	360	1000000	"90010,15/90011,5/90012,5"	0	5	0	2
//14103	OBJECT	a1-038-wall-lin2	Stone wall(1-3)	-500	-106.73	500	106.73	0	0	360	1000000	"90010,15/90011,5/90012,5"	0	5	0	2
//14104	OBJECT	a1-038-wall-door	Gate(1)	-1000	-274.73	1000	274.73	0	0	360	2500000	"90010,5/90011,15/90012,10"	0	5	0	2
14105	BUILDING	a1-set	Wall(1)	-1000	-274.73	1000	274.73	0	0	360	2500000	"90010,5/90011,15/90012,10"	0	5	0	2

14110	HEADQUARTER	b1-011-workhouse	House (2)	-230.23040771484375	-261.2984313964844	230.1256866455078	261.66845703125	0	0	360	20000000	"90010,20/90011,30/90012,25"	0	1	0	1
//14111	OBJECT	b1-038-wall-corner	Stone wall(2-1)	-400	-153.53	156.48	400	0	0	360	2000000	"90010,15/90011,5/90012,5"	0	5	0	2
//14112	OBJECT	b1-038-wall-lin	Stone wall(2-2)	-200	-106.73	300	106.73	0	0	360	1000000	"90010,15/90011,5/90012,5"	0	5	0	2
//14113	OBJECT	b1-038-wall-lin2	Stone wall(2-3)	-500	-106.73	500	106.73	0	0	360	1000000	"90010,15/90011,5/90012,5"	0	5	0	2
//14114	OBJECT	b1-038-wall-door	Gate(2)	-1000	-274.73	1000	274.73	0	0	360	2500000	"90010,5/90011,15/90012,10"	0	5	0	2
14115	BUILDING	b1-set	Wall(2)	-1000	-274.73	1000	274.73	0	0	360	2500000	"90010,5/90011,15/90012,10"	0	5	0	2

14120	HEADQUARTER	c1-011-workhouse	House (3)	-230.23040771484375	-261.2984313964844	230.1256866455078	261.66845703125	0	0	360	20000000	"90010,20/90011,30/90012,25"	0	1	0	1
//14121	OBJECT	c1-038-wall-corner	Stone wall(3-1)	-400	-153.53	156.48	400	0	0	360	2000000	"90010,15/90011,5/90012,5"	0	5	0	2
//14122	OBJECT	c1-038-wall-lin	Stone wall(3-2)	-200	-106.73	300	106.73	0	0	360	1000000	"90010,15/90011,5/90012,5"	0	5	0	2
//14123	OBJECT	c1-038-wall-lin2	Stone wall(3-3)	-500	-106.73	500	106.73	0	0	360	1000000	"90010,15/90011,5/90012,5"	0	5	0	2
//14124	OBJECT	c1-038-wall-door	Gate(3)	-1000	-274.73	1000	274.73	0	0	360	2500000	"90010,5/90011,15/90012,10"	0	5	0	2
14125	BUILDING	c1-set	Wall(3)	-1000	-274.73	1000	274.73	0	0	360	2500000	"90010,5/90011,15/90012,10"	0	5	0	2

14140	FACILITY	ob-7-01	Watch Tower	-188.252349854	-221.329330444	188.252319336	221.329238892	0	0	360	3000000	"90010,20/90011,30/90012,35"	0	5	0	2
14141	WALL	ob-7-02-01	Wooden Wall 1	-3.68664550781	-79.9315872192	348.523040771	79.9315795898	0	0	360	800000	"90010,5/90011,15/90012,15"	0	0	0	1
14142	WALL	ob-7-02-02	Wooden Wall 2	-72.1397094727	-71.6578369141	72.139831543	71.657875061	0	0	360	500000	"90010,5/90011,15/90012,15"	0	0	0	1
14143	WALL	ob-7-03-01	Wooden Wall 3	-390.815155029	-104.89855957	4.12551879883	104.89855957	0	0	360	800000	"90010,5/90011,15/90012,15"	0	0	0	1
14144	OBJECT	ob-7-03-02	Wooden Gate	-2.44995117188	-192.413269043	695.531188965	192.413284302	0	0	360	2000000	"90010,5/90011,20/90012,20"	0	6	0	1
14145	BUILDING	ob1-set	Wall(4)	-1000	-274.73	1000	274.73	0	0	360	2500000	"90010,5/90011,15/90012,10"	0	0	0	1

14200	OBJECT	guild_symbol	Guild Insignia	-45.8975601196	-9.44270133972	42.6768798828	40.131187439	0	0	360	3000000	"90011,5/90012,5"	0	0	1	1
14201	WALL	fence01_door01	Fence Gate	-1000	-54	1000	20	0	0	360	3000000	"90010,5"	0	0	1	1
14202	WALL	fence01_back01	Rear Fence Gate	-1000	-18	1000	18	0	0	360	3000000	"90010,5"	0	0	1	1
14203	WALL	fence01_left01	Left Fence Gate	-19	-1362	19	1362	0	0	360	3000000	"90010,5"	0	0	1	1
14204	WALL	fence01_right01	Right Fence Gate	-18	-1362	18	1362	0	0	360	3000000	"90010,5"	0	0	1	1

14300	OBJECT	general_obj_stone01	Stone 1	-116.035644531	-118.443229675	116.035644531	118.443260193	0	0	360	300000	"90010,5"	0	0	0	1
14301	OBJECT	general_obj_stone02	Stone 2	-118.045898438	-132.673980713	118.045928955	132.673995972	0	0	360	300000	"90010,5"	0	0	0	1
14302	OBJECT	general_obj_stone03	Stone 3	-133.427612305	-102.964019775	133.427642822	102.963989258	0	0	360	300000	"90010,7"	0	0	0	1
14303	OBJECT	general_obj_stone04	Stone 4	-104.209754944	-117.823577881	104.209754944	117.823562622	0	0	360	300000	"90010,7"	0	0	0	1
14304	OBJECT	general_obj_stone05	Stone 5	-171.591796875	-145.522949219	171.591918945	145.522949219	0	0	360	300000	"90010,7"	0	0	0	1
14305	OBJECT	general_obj_stone06	Stone 6	-192.739379883	-201.580810547	192.7394104	201.580810547	0	0	360	300000	"90010,8"	0	0	0	1
14306	OBJECT	general_obj_stone07	Stone 7	-183.582092285	-184.011703491	183.582107544	184.011703491	0	0	360	300000	"90010,8"	0	0	0	1
14307	OBJECT	general_obj_stone08	Stone 8	-66.8949584961	-56.6658401489	66.8949432373	56.6658439636	0	0	360	300000	"90010,8"	0	0	0	1
14308	OBJECT	general_obj_stone09	Stone 9	-65.8705444336	-53.4743156433	65.870300293	53.4743156433	0	0	360	300000	"90010,9"	0	0	0	1
14309	OBJECT	general_obj_stone10	Stone 10	-182.167663574	-123.028343201	182.167663574	123.028366089	0	0	360	300000	"90010,9"	0	0	0	1

14400	OBJECT	B1_PagodaTree_RT	Wood 1					0	0	360	2000000	"90011,5"	0	0	0	1
14401	OBJECT	B1_PagodaTree_RT3	Wood 2					0	0	360	2000000	"90011,5"	0	0	0	1
14402	OBJECT	B1_Sassafras_RT_Fall	Wood 3					0	0	360	2000000	"90011,7"	0	0	0	1
14403	OBJECT	B1_Sassafras_RT_Fall2	Wood 4					0	0	360	2000000	"90011,7"	0	0	0	1
14404	OBJECT	B3_ShingleOak_RT2	Wood 5					0	0	360	2000000	"90011,7"	0	0	0	1
14405	OBJECT	B2_IvySpy_RT	Wood 6					0	0	360	2000000	"90011,9"	0	0	0	1
14406	OBJECT	B2_IvySpy_RT4	Wood 7					0	0	360	2000000	"90011,9"	0	0	0	1
14407	OBJECT	B2_JapaneseMaple_RT_Fall	Wood 8					0	0	360	2000000	"90011,9"	0	0	0	1
14408	OBJECT	B2_JapaneseMaple_RT_Fall2	Wood 9					0	0	360	2000000	"90011,9"	0	0	0	1

//14390	FACILITY	grass	Grass					0	0	360	10000	"90011,9"	0	0	0	2
